dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
113,"00:09:07,986 --> 00:09:09,764
","And no one leaves

",0.668602,0.058684,0.151147,0.134387,0.081552,0.234414,0.287122,0.530267,0.4874,0.235294,0.0,0.0,0.0
114,"00:09:09,764 --> 00:09:11,533
","That's right, we stay

",0.11072,0.579371,0.173038,0.054175,0.142221,0.314489,0.508218,0.700583,0.626171,0.714185,0.0,0.0,0.0
115,"00:09:11,533 --> 00:09:13,800
","We're safe and we're well provided

",0.079404,0.766295,0.139174,0.043409,0.044574,0.721781,0.360964,0.725738,0.652267,0.765392,0.0,0.0,0.0
116,"00:09:13,827 --> 00:09:15,660
","And when we look to the future

",0.217871,0.516851,0.260449,0.021475,0.050161,0.271344,0.548502,0.482066,0.627055,0.667462,0.0,0.0,0.0
117,"00:09:15,685 --> 00:09:17,843
","There you are

",0.28669,0.404501,0.183969,0.067602,0.095752,0.623662,0.311289,0.619541,0.591244,0.464705,0.0,0.0,0.0
118,"00:09:17,875 --> 00:09:21,668
","You'll be okay
In time you'll learn just as I did

",0.189656,0.440565,0.269344,0.134376,0.088208,0.016058,0.300948,0.919873,0.125491,0.510545,0.829888,0.972662,0.0
119,"00:09:21,724 --> 00:09:23,657
","You must find happiness right

",0.007247,0.950635,0.017219,0.018085,0.027038,0.566392,0.488977,0.816797,0.583302,0.19427,0.882284,0.0,0.849827
120,"00:09:23,684 --> 00:09:27,167
","Where you are?

",0.076606,0.337079,0.29909,0.135836,0.220254,0.563593,0.33596,0.629605,0.607415,0.559852,0.0,0.0,0.0
121,"00:09:32,271 --> 00:09:34,271
","I like to dance with the water

",0.095342,0.685356,0.121872,0.099787,0.061251,0.285853,0.320235,0.236536,0.671194,0.684519,0.0,0.681699,0.0
122,"00:09:34,350 --> 00:09:36,382
","The undertow and the waves

",0.274615,0.337627,0.223026,0.140477,0.096422,0.822218,0.304392,0.508126,0.581175,0.46669,0.0,0.0,0.0
123,"00:09:36,407 --> 00:09:37,859
","The water is mischievous

",0.18283,0.146229,0.467897,0.126827,0.145891,0.663549,0.230863,0.34819,0.561657,0.478636,0.0,0.0,0.0
124,"00:09:37,884 --> 00:09:40,563
","Ha! I like how it misbehaves

",0.151678,0.315041,0.375433,0.106198,0.135058,0.143925,0.41325,0.625134,0.011023,0.222932,0.0,0.75152,0.0
125,"00:09:40,580 --> 00:09:42,647
","The village may think I'm crazy

",0.175875,0.569138,0.215528,0.04256,0.053595,0.318374,0.088397,0.62052,0.533306,0.09239,0.842108,0.946222,0.0
126,"00:09:42,659 --> 00:09:44,517
","Or say that I drift too far

",0.448703,0.087472,0.300973,0.154475,0.088323,0.455982,0.204665,0.504745,0.038858,0.211308,0.0,0.91961,0.0
